0 0.0224139
0.2 0.0373806
0.4 0.0437652
0.6 0.0469518
0.8 0.0482393
1 0.0483052
1.2 0.0474676
1.4 0.046079
1.6 0.0444141
1.8 0.0424835
2 0.0404202
2.2 0.0383759
2.4 0.036137
2.6 0.0340226
2.8 0.0319216
3 0.0297941
3.2 0.0279098
3.4 0.0259686
3.6 0.0241111
3.8 0.0223442
4 0.0207789
4.2 0.0193339
4.4 0.0178651
4.6 0.0164612
4.8 0.0152778
5 0.0140847
5.2 0.0129558
5.4 0.0119215
5.6 0.0110193
5.8 0.0101499
6 0.0093297
6.2 0.0085799
6.4 0.007876
6.6 0.0072192
6.8 0.0066446
7 0.0060654
7.2 0.0056087
7.4 0.0051751
7.6 0.0047411
7.8 0.0043034
8 0.0039626
8.2 0.0036267
8.4 0.0033286
8.6 0.0030539
8.8 0.002806
9 0.0025166
9.2 0.0023505
9.4 0.0021064
9.6 0.0019739
9.8 0.0017844
