a : 239
abrogation : 1
abrogee : 1
absence : 1
absolue : 3
academies : 1
acceleree : 3
acceptation : 1
acceptes : 1
acces : 3
accession : 1
accompagne : 1
accompagnee : 1
accomplir : 1
accomplis : 2
accord : 9
accorde : 1
accordee : 1
accordees : 3
accords : 7
accredite : 1
accredites : 1
acte : 4
actes : 10
action : 8
activite : 4
adaptations : 3
adapter : 1
addition : 1
adherer : 1
adhesion : 1
adhesions : 1
adjoint : 1
adjonction : 2
administratif : 2
administration : 2
administrations : 4
administrative : 1
administratives : 1
administrent : 1
admises : 2
adopte : 6
adoptee : 7
adoptees : 2
adoptes : 1
adoption : 7
adresse : 1
affaires : 1
aggravation : 1
agissant : 1
ainsi : 22
ait : 3
alinea : 41
alineas : 5
alors : 2
ambassadeurs : 3
amendement : 5
amendements : 3
amenees : 1
amnistie : 1
an : 1
anciens : 1
annee : 1
annonce : 1
ans : 5
antarctiques : 1
anterieurement : 1
apparait : 1
appartenaient : 1
appartenant : 2
appartiennent : 2
appartient : 3
appel : 1
appele : 1
appelees : 2
applicable : 5
applicables : 5
application : 21
applique : 2
approbation : 4
approuve : 1
approuvee : 1
approuver : 1
approuves : 3
apres : 38
arbitrage : 1
arbitrairement : 1
armee : 1
armees : 2
arrestation : 1
arret : 1
arrete : 2
article : 170
articles : 10
asile : 3
assemblee : 95
assemblees : 31
assiette : 2
assiste : 4
assister : 1
association : 1
associer : 1
assure : 5
assurer : 3
attachement : 1
atteinte : 2
attribue : 1
attribuer : 1
attribution : 1
attributions : 2
au : 118
aucun : 9
aucune : 5
audit : 1
augmenter : 1
aupres : 3
auquel : 1
aurait : 2
aussi : 1
aussitot : 1
australes : 1
autonomie : 1
autorisant : 1
autorisation : 7
autorisee : 2
autoriser : 5
autorite : 5
autorites : 3
autre : 13
autres : 14
aux : 56
auxquelles : 2
auxquels : 1
avant : 19
avec : 10
avis : 22
avocat : 3
avoir : 6
ayant : 4
barthelemy : 1
beneficient : 1
biens : 1
bis : 1
blanc : 1
bleu : 1
brefs : 1
bulletins : 1
bureau : 3
cadre : 1
caduques : 2
caledonie : 13
candidat : 1
candidate : 1
candidats : 5
candidatures : 1
capacite : 2
caractere : 9
caracteristiques : 1
cas : 37
cassation : 8
categorie : 1
categories : 3
cause : 8
ce : 15
celle : 3
celles : 11
celui : 8
censure : 5
cent : 6
centrales : 1
cependant : 1
certaines : 4
certains : 2
ces : 21
cessation : 1
cession : 2
cet : 7
cette : 24
ceux : 8
chacun : 2
chacune : 2
chancelier : 1
changement : 3
