y : 12
xv : 2
xi : 2
x : 1
wallis : 1
vue : 3
votes : 5
voter : 1
votees : 2
votee : 2
vote : 19
volonte : 2
voix : 1
voie : 3
vocation : 1
vises : 2
visees : 2
vise : 2
violation : 1
vingt : 7
vigueur : 8
vie : 3
vertu : 7
vers : 1
veille : 4
valable : 1
vacance : 5
v : 1
utile : 1
urgence : 2
universel : 2
unique : 1
union : 16
une : 120
un : 122
ulterieure : 1
tutelle : 1
trouvent : 1
trouve : 2
troisieme : 8
trois : 21
tricolore : 1
tribunal : 1
trente : 6
treize : 2
travail : 1
transmission : 4
transmise : 1
transmis : 4
transitoires : 1
transferts : 2
transfert : 2
transferees : 1
traites : 8
traite : 11
toutes : 4
toutefois : 7
toute : 10
tout : 20
tous : 4
tour : 7
toujours : 2
titulaires : 1
titre : 26
tiers : 2
tient : 1
textes : 4
texte : 15
territoriales : 18
territoriale : 6
territoires : 1
territoire : 7
terres : 1
termes : 5
terme : 1
tenue : 2
tenu : 1
tenir : 3
tendant : 2
tenant : 1
temps : 1
temporaire : 1
temoigner : 1
tels : 4
telles : 1
telle : 1
taux : 2
tard : 2
tant : 1
tableau : 2
syndical : 1
suspendus : 2
suspendues : 1
suspendu : 1
suspend : 1
susceptibles : 2
sus : 1
sur : 69
supplementaires : 3
suppleer : 2
supplee : 1
superieurs : 1
superieure : 1
superieur : 9
sujetions : 1
sujet : 3
suivie : 3
suivi : 1
suivent : 3
suivantes : 1
suivante : 1
suivant : 7
suites : 1
suite : 2
suit : 3
suffrages : 4
suffrage : 5
successivement : 1
successions : 1
successeur : 2
substituant : 1
subsidiarite : 2
statut : 11
statuer : 4
statue : 5
statuant : 1
specifiques : 1
specifique : 1
specificites : 1
specialement : 2
souverainete : 5
soutenue : 1
soutenu : 1
sous : 11
soumises : 4
soumis : 13
soumettre : 3
soumet : 3
sont : 78
son : 34
sollicite : 1
solidarite : 1
solennellement : 1
soixante : 11
soit : 7
soient : 2
sociales : 1
sociale : 12
social : 8
six : 11
situee : 1
situation : 1
sinceres : 1
simplifiee : 1
signee : 1
signe : 6
signataire : 1
siens : 1
sieges : 1
sieger : 1
siege : 16
si : 30
sexes : 1
seuls : 4
seule : 1
seul : 5
sessions : 7
session : 17
ses : 19
services : 2
service : 2
seront : 2
serait : 1
sept : 4
sens : 1
senatoriaux : 1
senateurs : 8
senat : 21
semaines : 6
semaine : 2
selon : 11
seize : 1
sein : 7
securite : 10
section : 1
secteur : 2
secrets : 1
secret : 2
seconde : 1
