0 0.00015219
0.2 0.0009933
0.4 0.00244008
0.6 0.00434322
0.8 0.00646091
1 0.00871586
1.2 0.0110369
1.4 0.0132767
1.6 0.0154327
1.8 0.0174361
2 0.0192921
2.2 0.0209184
2.4 0.0223922
2.6 0.0236093
2.8 0.0246495
3 0.0254925
3.2 0.0261536
3.4 0.026606
3.6 0.0268587
3.8 0.0270258
4 0.0270386
4.2 0.0269188
4.4 0.026687
4.6 0.0263237
4.8 0.0258832
5 0.0253946
5.2 0.024809
5.4 0.0241621
5.6 0.023486
5.8 0.0227628
6 0.0220282
6.2 0.0212896
6.4 0.0204813
6.6 0.0196899
6.8 0.0189042
7 0.0180836
7.2 0.0173058
7.4 0.0165403
7.6 0.0157764
7.8 0.0150182
8 0.0142902
8.2 0.0135724
8.4 0.0128662
8.6 0.0122247
8.8 0.0115933
9 0.010933
9.2 0.0103557
9.4 0.00975947
9.6 0.00921168
9.8 0.00867421
