40
0.0266303	61.0921	3.20377
0.0235551	96.6631	9.1368
0.0217227	90.3187	3.6467
0.0296922	43.6456	7.64087
0.0305486	47.2065	4.17338
0.00958505	13.0177	7.94207
0.0305453	85.596	4.77605
0.0319182	99.8388	2.65807
0.0230221	36.6025	2.32444
0.0443291	66.2881	6.45706
0.00342223	31.1776	0.229529
0.0202425	51.346	3.9961
0.039455	17.8591	9.55079
0.0303827	5.00429	2.99519
0.0184342	19.7952	9.92331
0.0433954	33.0828	1.89152
0.00247369	25.1366	0.988181
0.024001	44.9188	5.03879
0.0288894	57.3358	0.271336
0.0378165	68.4579	3.34924
0.0271209	45.2619	9.24179
0.0327192	49.2338	9.09155
0.0348334	97.5793	6.48372
0.0196183	12.8984	0.921393
0.00776185	26.0694	2.79042
0.0215581	47.9034	3.08209
0.0473171	37.2489	2.68347
0.0167749	4.71999	2.44583
0.0252238	95.9105	1.39556
0.0141623	10.2978	8.65092
0.0200574	92.6185	6.09526
0.0246136	50.8372	1.36071
0.00287337	63.9861	3.78291
0.0161284	24.8877	0.704941
0.0399854	27.4767	8.68825
0.0315411	99.3027	9.40923
0.0261343	51.8759	5.37632
0.0459679	46.3877	0.677606
0.00113022	31.7959	3.88993
0.0244172	53.4341	8.74425
