16384 :Sparse 98
373 6128
428 15557
498 3549
582 2264
1193 3788
1296 2084
1364 8832
1477 2713
1502 15088
1579 12251
1798 373
1809 6973
1888 5243
2084 10212
2091 4005
2264 8805
2344 2091
2707 5150
2713 4669
2760 1809
3028 14001
3383 1579
3549 2707
3687 8631
3751 13569
3788 11676
3974 498
3982 13431
4005 5235
4435 10115
4669 15900
4745 3751
4829 9917
4949 9611
5044 10597
5150 7969
5193 1502
5235 7092
5243 1364
5834 8546
6090 8069
6128 7935
6441 5834
6647 1193
6777 14155
6973 582
7092 10369
7430 9118
7935 14196
7969 428
8069 13730
8154 6777
8546 14858
8631 3974
8657 3687
8783 5193
8805 8657
8832 3028
9118 16239
9129 14149
9611 4435
9727 1477
9895 6441
9917 9895
10115 8783
10212 14718
10298 10433
10306 5044
10369 12029
10433 14242
10597 9129
11300 14698
11676 1798
12029 12755
12251 4949
12755 14639
13431 9727
13569 7430
13717 8154
13730 4745
14001 13717
14149 16089
14155 10298
14196 14917
14242 10306
14639 6090
14698 15177
14718 2760
14799 11300
14858 14945
14917 14799
14945 1888
15088 3383
15177 2344
15557 3982
15900 1296
16089 6647
16239 4829
